elevation_m,young_Pa
-2.362430715,4742373079
-2.241396376,4500959881
-2.567098301,5158609303
-2.455955429,4931354592
-2.179185338,4378301909
-2.258869134,4535586215
-2.733754747,5504618584
-2.504141555,5029529739
-2.548424523,5120227733
-2.361775723,4741056964
-2.659892143,5350504768
-2.941630611,5944639336
-2.901645641,5859295652
-2.897085197,5849582918
-2.854290553,5758651395
-2.383425735,4784614552
-2.905141692,5866744393
-2.818739967,5683405172
-2.690491252,5414204200
-2.956157141,5975726317
-2.952617932,5968148367
-2.640107471,5309428633
-2.635501845,5299879129
-2.951699828,5966182996
-2.886313068,5826657870
-2.853013954,5755944732
-2.373303089,4764234745
-2.42827659,4875207936
-2.267280368,4552282330
-2.404072476,4826258772
-2.362010356,4741528415
-2.946431296,5954908074
-2.131093417,4284163217
-2.547538439,5118408480
-2.264838136,4547432730
-2.885203419,5824297709
-2.944467265,5950706408
-2.90160309,5859205009
-2.751795464,5542441498
-2.521455863,5064938136
-2.948963456,5960326312
-2.891703174,5838125972
-2.128758864,4279608708
-2.781377341,5604612972
-2.303228114,4623836406
-2.511684947,5044947723
-2.240660498,4499503251
-2.929164138,5917995517
-2.869289082,5790477135
-2.980576847,6028082244
-2.898338555,5852251863
-2.426377998,4871363280
-2.934209407,5928774599
-2.973006997,6011839433
-2.858059223,5766643781
-2.929164138,5917995517
-2.885321279,5824548378
-2.809171095,5663197485
-2.216255636,4451272744
-2.359755204,4736997673
-2.930734926,5921350901
-2.291660975,4600776991
-2.206978887,4432979047
-2.708843352,5452507421
-2.949881745,5962291563
-2.790879998,5624624378
-2.82890462,5704892338
-2.941821429,5945047407
-2.956120859,5975648620
-2.485065439,4990598921
-2.713880179,5463032839
-2.633863299,5296482838
-2.543549319,5110220498
-2.71303596,5461268295
-2.6608934,5352585848
-2.619853785,5267469189
-2.573881767,5172571541
-2.905147309,5866756362
-2.779929807,5601566348
-2.421806072,4862108627
-2.428447224,4875553512
-2.954125989,5971377017
-2.484078387,4988586836
-2.623044511,5274073304
-2.793574788,5630302785
-2.950294468,5963174897
-2.080567373,4185911809
-2.661162554,5353145315
-2.428559784,4875781477
-2.211470279,4441833311
-2.665758676,5362701336
-2.356783163,4731028540
-2.898709659,5853042167
-2.972808243,6011413120
-2.972808243,6011413120
-2.419408888,4857258151
-2.734692873,5506583653
-2.787545446,5617600026
-2.873631403,5799700022
-2.762709851,5565358036
-2.64030943,5309847492
-2.656636263,5343739061
-2.79932342,5642421378
-2.80699593,5658606658
-2.760248994,5560188820
-2.215567029,4449914062
-2.213817381,4446462397
-2.333836197,4685013523
-2.84346707,5735714181
-2.970910715,6007343456
-2.912732144,5882925464
-2.791740021,5626436432
-2.883336114,5820326638
-2.688584289,5410228362
-2.745400103,5529025356
-2.812307935,5669819765
-2.566685394,5157759766
-2.563171072,5150530776
-2.949375099,5961207257
-2.891005711,5836641693
-2.825232782,5697127872
-2.957571357,5978755073
-2.2406721,4499526216
-2.34936555,4716140149
-2.421569318,4861629517
-2.253868523,4525668510
-2.118349731,4259318781
-2.735783936,5508869317
-2.603415683,5233482093
-2.600236182,5226915239
-2.592937122,5211848591
-2.948985158,5960372755
-2.676284805,5384604336
-2.624058169,5276171837
-2.74746234,5533350535
-2.970815306,6007138850
-2.928386663,5916334929
-2.912445917,5882315079
-2.738669088,5514914654
-2.79888228,5641491170
-2.745568806,5529379147
-2.910441327,5878040719
-2.841173527,5730856857
-2.952869971,5968687933
-2.789922202,5622606503
-2.612914389,5253114021
-2.34268007,4702732740
-2.337249564,4691850139
-2.509236686,5039942264
-2.801313911,5646619144
-2.74804747,5534577911
-2.36545157,4748444405
-2.638419173,5305927492
-2.645138613,5319865827
-2.462076076,4943794754
-2.554735818,5133190883
-2.760157265,5559996161
-2.711449879,5457953567
-2.681223081,5394888446
-2.600736964,5227949388
-2.764452827,5569020079
-2.652027721,5334166550
-2.653063379,5336317327
-2.342547955,4702467899
-2.371283054,4760170789
-2.519029655,5059972275
-2.400524678,4819095634
-2.728904612,5494462178
-2.911228949,5879720054
-2.565211288,5154727175
-2.76505148,5570278017
-2.666334384,5363898648
-2.823374815,5693200106
-2.475304968,4970712414
-2.961153694,5986429019
-2.902884234,5861934328
-2.71780055,5471229043
-2.315129461,4647596556
-2.361602916,4740709751
-2.37349885,4764628632
-2.231900961,4482174741
-2.265594097,4548933700
-2.688251994,5409535640
-2.681697123,5395875935
-2.472866376,4965747372
-2.339592821,4696545087
-2.455688478,4930812217
-2.322886544,4663101756
-2.692595554,5418592400
-2.922307387,5903354679
-2.170459559,4361176941
-2.082398278,4189460333
-2.457773827,4935049551
-2.364259149,4746047609
-2.523258066,5068627689
-2.089292501,4202830199
-2.272416526,4562486184
-2.53625347,5095254638
-2.631181368,5290925171
-2.730444638,5497686509
-2.874007216,5800498416
-2.767437116,5575291678
-2.93461324,5929637603
-2.779742969,5601173141
-2.864037928,5779329211
-2.378340719,4774373858
-2.307124455,4631611316
-2.385643395,4789082636
-2.575071866,5175022171
-2.718821486,5473364035
-2.183783243,4387333512
-2.704161206,5442728156
-2.484385621,4989213102
-2.556903057,5137644408
-2.95697762,5977483447
-2.116830279,4256359380
-2.362158889,4741826870
-2.487636606,4995841256
-2.803396842,5651012763
-2.552537104,5128673777
-2.651061659,5332160518
-2.952361889,5967600243
-2.768668303,5577879623
-2.459064012,4937671660
-2.454981664,4929376236
-2.681672036,5395823675
-2.79831464,5640294276
-2.895878252,5847013117
-2.96120241,5986533395
-2.506778705,5034918326
-2.698884041,5431711874
-2.559224757,5142416530
-2.418985249,4856401099
-2.772990065,5586966515
-2.663803511,5358635686
-2.395720869,4809401368
-2.531138837,5084770366
-2.954490789,5972158101
-2.547300203,5117919380
-2.43552944,4889902855
-2.815037732,5675584427
-2.587076616,5199760109
-2.58044405,5186088477
-2.807207008,5659052107
-2.669315051,5370098778
-2.100892052,4225353503
-2.517032391,5055885377
-2.92378129,5906501002
-2.606415844,5239680633
-2.806865869,5658332188
-2.93186412,5923763303
-2.784988124,5612214550
-2.884226009,5822219027
-2.95886706,5981530375
-2.809140666,5663133255
-2.934675842,5929771389
-2.51726803,5056367505
-2.345796244,4708980722
-2.552501962,5128601589
-2.952513817,5967925480
-2.655510941,5341401192
-2.554921528,5133572462
-2.400854483,4819761396
-2.652425303,5334992190
-2.947351874,5956877745
-2.416979749,4852344412
-2.499323127,5019688232
-2.689007929,5411111543
-2.877468027,5807852116
-2.316206999,4649749501
-2.716792339,5469120886
-2.640972748,5311223264
-2.934696322,5929815156
-2.85590976,5762084952
-2.86571634,5782891763
-2.781068572,5603963069
-2.873727255,5799903651
-2.947351874,5956877745
-2.956972334,5977472125
-2.966808956,5998548854
-2.404710304,4827546889
-2.705029419,5444541168
-2.415371456,4849091879
-2.570718494,5166059354
-2.838341678,5724861030
-2.88884174,5832037171
-2.907830516,5872474971
-2.826773248,5700384992
-2.576381474,5177719264
-2.319595719,4656522104
-2.893098299,5841095256
-2.323381455,4664091507
-2.923786577,5906512287
-2.907266802,5871273426
-2.849283101,5748036493
-2.357385873,4732238866
-2.537642067,5098102103
-2.601669528,5229875350
-2.783412509,5608897154
-2.790714457,5624275603
-2.815507114,5676575805
-2.745221525,5528650864
-2.714699005,5464744456
